Correct Sentenes,Wrong sentences
සභාපතිවරයා අද නව කාර්යයන් ආරම්භ කළේය.,සභාපතිවරයා අද ආරම්භ කළේය නව කාර්යයන්.
තොරතුරු හෙට පුවත්පත් මගින් ලැබෙනු ඇත.,තොරතුරු හෙට ලැබෙනු ඇත පුවත්පත් මගින්.
රාජ්‍ය නිලධාරීන් ඊයේ රාජකාරි කාරණා විමසා බලති.,රාජ්‍ය නිලධාරීන් ඊයේ විමසා බලති රාජකාරි කාරණා.
අපගේ තීරණය නිරතුරුව මුළු දේශය වෙතම බලපෑමක් විය.,අපගේ තීරණය විය නිරතුරුව බලපෑමක් මුළු දේශය වෙතම.
පණ්ඩිතයන් සැමදා උගත් ප්‍රඥාව මනාව පරිශීලනය කළෝය.,පණ්ඩිතයන් උගත් සැමදා මනාව ප්‍රඥාව පරිශීලනය කළෝය.
සංචාරකයා ඊයේ රමණීය දර්ශන බැලීමට කන්ද නැග්ගේය.,සංචාරකයා ඊයේ බැලීමට නැග්ගේය කන්ද රමණීය දර්ශන.
ඔහු පෙරේදා සිය කුඩා අධ්‍යාපන කරුණු පසුපස ගියේය.,ඔහු ගියේය පෙරේදා පසුපස සිය කුඩා අධ්‍යාපන කරුණු.
කාර්යාලයේ සිටින සියල්ලෝම හෙට නව ව්‍යාපෘතිය පිළිගනිති.,කාර්යාලයේ සිටින සියල්ලෝම පිළිගනිති හෙට නව ව්‍යාපෘතිය.
වාර්තාව අද නියමිත කාලය තුළ ඉදිරිපත් කිරීම අවශ්‍ය වේ.,වාර්තාව අද අවශ්‍ය වේ ඉදිරිපත් කිරීම නියමිත කාලය තුළ.
දරුවන් දෛනිකව ගමේ ඇළ අසල සෙල්ලම් කළහ.,දරුවන් සෙල්ලම් කළහ දෛනිකව ගමේ ඇළ අසල.
ලේකම්වරයා ඊයේ මණ්ඩලය වෙත නව තොරතුරු දැන්වීය.,ලේකම්වරයා ඊයේ දැන්වීය නව තොරතුරු මණ්ඩලය වෙත.
ශිෂ්‍යයා අද පාසලේ කර්තව්‍යයන් සම්පූර්ණ කළේය.,ශිෂ්‍යයා සම්පූර්ණ කළේය අද පාසලේ කර්තව්‍යයන්.
වරදි ඊයේ කළින් කළ පිළිබඳව සමාව ඇයැද සිටියේය.,වරදි කළින් කළ ඊයේ සිටියේය සමාව ඇයැද පිළිබඳව.
විද්‍යාලය සැමදා අපගේ ක්ෂේත්‍රයේ ඉහළට නැඟී සිටියේය.,විද්‍යාලය අපගේ සැමදා නැඟී සිටියේය ක්ෂේත්‍රයේ ඉහළට.
දරුවෝ දෛනිකව ග්‍රාමීය පාසල වෙත පැමිණීමට යුහුසුළු වෙති.,දරුවෝ ග්‍රාමීය දෛනිකව වෙති පාසල වෙත පැමිණීමට යුහුසුළු.
සිද්ධිය පෙරේදා ඓතිහාසික මුළු දේශයම හඳුනාගෙන ඇත.,සිද්ධිය පෙරේදා හඳුනාගෙන ඇත ඓතිහාසික මුළු දේශයම.
ආණ්ඩුවක් නිරතුරුව යහපත් ජනතාවගේ දේ සැලකිල්ලට ගනී.,ආණ්ඩුවක් යහපත් නිරතුරුව සැලකිල්ලට ගනී ජනතාවගේ දේ.
ව්‍යාපෘති හෙට පරිසරය සුරැකීම වෙනුවෙන් ක්‍රියාත්මක විය.,ව්‍යාපෘති ක්‍රියාත්මක විය හෙට පරිසරය සුරැකීම වෙනුවෙන්.
මහාචාර්යවරයා අද නව පර්යේෂණ නිමිත්තෙන් සිටියේය.,මහාචාර්යවරයා සිටියේය අද නව පර්යේෂණ නිමිත්තෙන්.
මිල නිරතුරුවම වෙළඳ පොළේ භාණ්ඩ ඉහළ යමින් තිබුණි.,මිල භාණ්ඩ වෙළඳ පොළේ නිරතුරුවම තිබුණි යමින් ඉහළ.
ඔවුන් ඊයේ විවිධ දේශපාලන ප්‍රශ්න ගැඹුරින් සාකච්ඡා කළෝය.,ඔවුන් ඊයේ සාකච්ඡා කළෝය විවිධ දේශපාලන ප්‍රශ්න ගැඹුරින්.
සංස්කෘතිය සැමදා ජාතික අපගේ ආත්මය බවට පත්වී ඇත.,සංස්කෘතිය ජාතික සැමදා බවට පත්වී ඇත අපගේ ආත්මය.
සූර්යයා උදෑසන උදාවන විට මහා අලෝකයක් පැතිරෙන්නේය.,සූර්යයා මහා අලෝකයක් පැතිරෙන්නේය උදෑසන උදාවන විට.
ආදායම නිරතුරුවම රාජ්‍ය ඉහළ නැංවීමට උත්සාහ කෙරේ.,ආදායම රාජ්‍ය නිරතුරුවම උත්සාහ කෙරේ ඉහළ නැංවීමට.
දර්ශනය සැමදා අපගේ මුළු ලෝකයාටම යහපතක් විය.,දර්ශනය අපගේ විය සැමදා මුළු ලෝකයාටම යහපතක්.
ක්‍රමයක් හෙට නව අධ්‍යාපන පාසල්වල ආරම්භ කරන ලදී.,ක්‍රමයක් අධ්‍යාපන නව පාසල්වල ආරම්භ කරන ලදී හෙට.
ශාලා ඊයේ විශාල කර්මාන්ත මෙරට තුළ පිහිටුවන ලදී.,ශාලා විශාල කර්මාන්ත ඊයේ ලදී පිහිටුවන මෙරට තුළ.
ලේඛකයා ඊයේ සිය නව ග්‍රන්ථය මුද්‍රණය කළෝය.,ලේඛකයා සිය ග්‍රන්ථය නව ඊයේ මුද්‍රණය කළෝය.
ගෞරවය සැමදා උපහාරය සියල්ලන්ටම ලබාදීම අත්‍යවශ්‍ය වේ.,ගෞරවය සහ උපහාරය අත්‍යවශ්‍ය වේ සියල්ලන්ටම ලබාදීම සැමදා.
නිලධාරීහු අද සියලු ලේඛන සැකසීම වෙත යොමු විය.,නිලධාරීහු සියලු අද ලේඛන යොමු විය සැකසීම වෙත.
ජනතාව නිරතුරුව ප්‍රදේශයේ උවදුරින් පීඩාවට පත්වූහ.,ජනතාව ප්‍රදේශයේ නිරතුරුව පත්වූහ උවදුරින් පීඩාවට.
තොරතුරු ඊයේ සතුරාගේ ක්‍රියාකාරකම් පිළිබඳව සෙවූහ.,තොරතුරු ඊයේ සතුරාගේ සෙවූහ ක්‍රියාකාරකම් පිළිබඳව.
සිසුන් දෛනිකව විද්‍යාත්මක තර්කය මනාව උපයෝගී කළහ.,සිසුන් දෛනිකව කළහ මනාව විද්‍යාත්මක තර්කය උපයෝගී.
දෙයක්ම හෙට නියමිත කාලයේදී සම්පූර්ණ කිරීම අවශ්‍ය වේ.,දෙයක්ම සම්පූර්ණ කිරීම අවශ්‍ය වේ හෙට නියමිත කාලයේදී.
රෝහලේ හෙට සේවය සඳහා වෛද්‍යවරයෙක් පැමිණෙනු ඇත.,වෛද්‍යවරයෙක් පැමිණෙනු ඇත හෙට රෝහලේ සේවය සඳහා.
දේශනය ඊයේ ඔහුගේ විශාල පිරිසක් සැලකිල්ලට ගන්නා ලදී.,දේශනය ඔහුගේ ඊයේ ගන්නා ලදී විශාල පිරිසක් සැලකිල්ලට.
භික්ෂූන් අද වහන්සේලා වටිනා ධර්ම සාකච්ඡාවක් පැවැත්වූහ.,භික්ෂූන් වහන්සේලා අද පැවැත්වූහ වටිනා ධර්ම සාකච්ඡාවක්.
ජනතාව නිරතුරුව සමාජයේ දුප්පත් වෙනුවෙන් වැඩසටහන් ඇත.,ජනතාව දුප්පත් සමාජයේ නිරතුරුව ඇත වෙනුවෙන් වැඩසටහන්.
තත්ත්වය අද වර්තමාන පිළිබඳව අධ්‍යයනයක් පැවැත්වීම අවශ්‍ය වේ.,තත්ත්වය වර්තමාන පිළිබඳව අවශ්‍ය වේ අද අධ්‍යයනයක් පැවැත්වීම.
උරුමය සැමදා අපගේ සුරැකීම උත්තරීතර වගකීමක් විය.,උරුමය අපගේ සැමදා විය උත්තරීතර වගකීමක් සුරැකීම.
පරිත්‍යාගශීලීන් ඊයේ විශාල පන්සලට ආධාරයක් ලබාදුන්හ.,පරිත්‍යාගශීලීන් විශාල ඊයේ ලබාදුන්හ ආධාරයක් පන්සලට.
යෝජනා හෙට ඉදිරිපත් කළ සභාව විසින් පිළිගනු ඇත.,යෝජනා ඉදිරිපත් කළ පිළිගනු ඇත හෙට සභාව විසින්.
කර්මාන්ත නිරතුරුව දේශීය සංවර්ධනය කිරීම අවශ්‍ය විය.,කර්මාන්ත දේශීය නිරතුරුව අවශ්‍ය විය සංවර්ධනය කිරීම.
අවස්ථා දැන් නව ව්‍යාපාරික මෙරට තුළ පවතිනේය.,අවස්ථා නව ව්‍යාපාරික දැන් පවතිනේය මෙරට තුළ.
පටය පෙරේදා කලින් කළ වීඩියෝ ජනප්‍රිය විය.,පටය කලින් කළ වීඩියෝ පෙරේදා විය ජනප්‍රිය.
මිනිසුන් නිරතුරුව සිය අයිතිවාසිකම් වෙනුවෙන් සටන් කළෝය.,මිනිසුන් නිරතුරුව සටන් කළෝය සිය අයිතිවාසිකම් වෙනුවෙන්.
නිලධාරීන් ඊයේ රජයේ රාජකාරි කාලය තුළ සම්පූර්ණ කළෝය.,නිලධාරීන් රජයේ සම්පූර්ණ කළෝය ඊයේ රාජකාරි කාලය තුළ.
පොත්පත් දෛනිකව කියවීම මගින් දැනුම පුළුල් විය.,පොත්පත් කියවීම මගින් දෛනිකව විය දැනුම පුළුල්.
ප්‍රතිසංස්කරණ ඉදිරියේදී දේශපාලන ක්ෂේත්‍රයේ සිදුකරනු ඇත.,ප්‍රතිසංස්කරණ දේශපාලන ක්ෂේත්‍රයේ ඉදිරියේදී සිදුකරනු ඇත.
සමූහයක් ඊයේ තරුණ සමාජ වැඩසටහනක් ආරම්භ කළෝය.,සමූහයක් තරුණ ඊයේ ආරම්භ කළෝය සමාජ වැඩසටහනක්.
කතාව අද ඔහුගේ ජනතාවගේ සිත් දිනාගැනීමට හේතු විය.,කතාව ඔහුගේ අද දිනාගැනීමට හේතු විය ජනතාවගේ සිත්.
තත්ත්වය නිරතුරුව සමාජයේ දුක්ඛිත පිළිබඳව අවධානයක් ලබාදෙන්නේය.,තත්ත්වය දුක්ඛිත සමාජයේ නිරතුරුව ලබාදෙන්නේය අවධානයක් පිළිබඳව.
ගුරුවරයා දෛනිකව සියලු සිසුන් වෙත දැනුම බෙදා දෙන්නේය.,ගුරුවරයා දැනුම සියලු බෙදා දෙන්නේය දෛනිකව සිසුන් වෙත.
උත්සාහය සැමදා අපගේ සාර්ථකත්වය වෙතට යොමු විය.,උත්සාහය අපගේ සැමදා යොමු විය සාර්ථකත්වය වෙතට.
යෝජනා ඊයේ ඉදිරිපත් කළ මණ්ඩලය විසින් සාකච්ඡා කෙරේ.,යෝජනා ඉදිරිපත් කළ ඊයේ සාකච්ඡා කෙරේ මණ්ඩලය විසින්.
සංකල්ප නිරතුරුව විද්‍යාත්මක දරුවන්ගේ අධ්‍යාපනයට එකතු විය.,සංකල්ප විද්‍යාත්මක නිරතුරුව එකතු විය දරුවන්ගේ අධ්‍යාපනයට.
උත්සවයක් සැමදා සෑම වසරකම පාසලේ පවත්වන ලදී.,උත්සවයක් ක්‍රීඩා පාසලේ සැමදා සෑම වසරකම ලදී පවත්වන.
සේවාවන් හෙට රෝහලේ වෛද්‍ය දියුණු විය යුතුය.,සේවාවන් රෝහලේ වෛද්‍ය දියුණු විය යුතුය හෙට.
ගිවිසුම් අද පැරණි අලුත් කිරීම පිළිබඳව සාකච්ඡා කළෝය.,ගිවිසුම් පැරණි අලුත් කිරීම පිළිබඳව සාකච්ඡා කළෝය අද.
ව්‍යාපෘතිය ඊයේ ඔවුන්ගේ නව අවධානය දිනාගැනීමට හේතු විය.,ව්‍යාපෘතිය නව ඔවුන්ගේ ඊයේ හේතු විය අවධානය දිනාගැනීමට.
ප්‍රශ්න සැමදා ලෝකයේ පවතින ගැඹුරින් අධ්‍යයනය කිරීම අවශ්‍ය වේ.,ප්‍රශ්න ලෝකයේ පවතින අවශ්‍ය වේ සැමදා ගැඹුරින් අධ්‍යයනය කිරීම.
සමගිය සැමදා සියලු දෙනාගේම ප්‍රධාන අරමුණක් විය.,සමගිය සියලු දෙනාගේම විය සැමදා ප්‍රධාන අරමුණක්.
ව්‍යාපෘති හෙට අදහාගත නොහැකි සංවර්ධන ඇරඹෙනු ඇත.,ව්‍යාපෘති සංවර්ධන අදහාගත නොහැකි ඇරඹෙනු ඇත හෙට.
තීරණය හෙට ඔහුගේ මුළු සමාජයටම සුවයක් දෙනු ඇත.,තීරණය ඔහුගේ සුවයක් දෙනු ඇත හෙට මුළු සමාජයටම.
තොරතුරු දෛනිකව පුවත්පත් මගින් දේශපාලන ලැබෙන්නේය.,තොරතුරු දේශපාලන දෛනිකව ලැබෙන්නේය පුවත්පත් මගින්.
සමූහයක් ඊයේ තරුණ වීඩියෝ පටයක් නිර්මාණය කළෝය.,සමූහයක් තරුණ ඊයේ නිර්මාණය කළෝය වීඩියෝ පටයක්.
සංශෝධනයක් ඊයේ රජයේ නව පාර්ලිමේන්තුව විසින් පිළිගනු ලැබුණි.,සංශෝධනයක් රජයේ නව ඊයේ පිළිගනු ලැබුණි පාර්ලිමේන්තුව විසින්.
සේවාවන් අද වෛද්‍ය ග්‍රාමීය ප්‍රදේශවලට ලං විය.,සේවාවන් වෛද්‍ය අද ලං විය ග්‍රාමීය ප්‍රදේශවලට.
සාධාරණත්වය සැමදා සමාජ වෙනුවෙන් සටන් කිරීම අවශ්‍ය විය.,සාධාරණත්වය සමාජ වෙනුවෙන් අවශ්‍ය විය සැමදා සටන් කිරීම.
චිත්‍රයක් ඊයේ කලාකරුවා අපූර්ව ශෛලියකින් අඳිනු ලැබීය.,චිත්‍රයක් කලාකරුවා ඊයේ අඳිනු ලැබීය අපූර්ව ශෛලියකින්.
ප්‍රතිසංස්කරණ ඉදිරියේදී විශාල කාලය තුළදී සිදුවන්නේය.,ප්‍රතිසංස්කරණ සිදුවන්නේය විශාල ඉදිරියේදී කාලය තුළදී.
අයිතිවාසිකම් සැමදා සෑම පුරවැසියෙකුගේම සුරැකීම අත්‍යවශ්‍ය වේ.,අයිතිවාසිකම් සැමදා අත්‍යවශ්‍ය වේ සෑම පුරවැසියෙකුගේම සුරැකීම.
හානියක් ඊයේ මහා වැසි නිසා දැඩිව සිදුවිය.,හානියක් දැඩිව ඊයේ සිදුවිය මහා වැසි නිසා.
සංස්කෘතිය සැමදා දේශීය ජීවිතයට සැනසිල්ලක් විය.,සංස්කෘතිය ජීවිතයට විය සැමදා දේශීය සැනසිල්ලක්.
මණ්ඩලයක් ඊයේ සභාව නව අමාත්‍ය පිළිගන්නා ලදී.,මණ්ඩලයක් නව අමාත්‍ය ඊයේ සභාව ලදී පිළිගන්නා.
අවස්ථා අද ව්‍යාපාරික විදේශ වෙළඳපොළට යොමු විය.,අවස්ථා ව්‍යාපාරික අද යොමු විය විදේශ වෙළඳපොළට.
කෞතුකාගාරයේ පුරාණ වස්තූන් සැමදා ඉතා වටිනේය.,කෞතුකාගාරයේ වස්තූන් පුරාණ සැමදා වටිනේය ඉතා.
පරිපාලන කටයුතු ඊයේ ලිපියක් පිළියෙළ කරන ලදී.,පරිපාලන කටයුතු ලිපියක් ඊයේ ලදී පිළියෙළ කරන.
ගුරුතුමිය දෛනිකව නව ශිල්පක්‍රම වෙත උනන්දු වූවාය.,ගුරුතුමිය නව දෛනිකව උනන්දු වූවාය ශිල්පක්‍රම වෙත.
උරුමය සැමදා අපගේ සුරැකීමට නිරතුරුව උත්සාහ කළ යුතුය.,උරුමය අපගේ කළ යුතුය සැමදා නිරතුරුව සුරැකීමට උත්සාහ.
ආයතනය අද රාජ්‍ය නව යෝජනා පිළිගත්තේය.,ආයතනය රාජ්‍ය නව අද පිළිගත්තේය යෝජනා.
විද්‍යාඥයන් අද ග්‍රහලෝක පිළිබඳව විමර්ශන කළහ.,විද්‍යාඥයන් විමර්ශන කළහ අද ග්‍රහලෝක පිළිබඳව.
උත්සවය හෙට විශාල පිරිසක් එකතු වීමට සූදානම්ය.,උත්සවය විශාල පිරිසක් හෙට සූදානම්ය එකතු වීමට.
වාර්තාකරුවෝ ඊයේ සිද්ධිය පිළිබඳව අධ්‍යයනයක් පැවැත්වූහ.,වාර්තාකරුවෝ අධ්‍යයනයක් පැවැත්වූහ ඊයේ සිද්ධිය පිළිබඳව.
අමුත්තන් හෙට සැමදෙනාටම සුහදව කතා කරනු ඇත.,අමුත්තන් සුහදව කතා කරනු ඇත හෙට සැමදෙනාටම.
ජනතාව නිරතුරුව සියලු සමෘද්ධිය සඳහා දායක වෙති.,ජනතාව සියලු දායක වෙති නිරතුරුව සමෘද්ධිය සඳහා.
පරිසරය සුරැකීම සැමදා වෙනුවෙන් ව්‍යාපෘති ක්‍රියාත්මක විය.,පරිසරය සුරැකීම ව්‍යාපෘති ක්‍රියාත්මක විය සැමදා වෙනුවෙන්.
මහාචාර්යවරයා දෛනිකව නව පර්යේෂණ විද්‍යාගාරයේ සිටියේය.,මහාචාර්යවරයා විද්‍යාගාරයේ සිටියේය දෛනිකව නව පර්යේෂණ.
මිල නිරතුරුවම වෙළඳ පොළේ ඉහළ යමින් තිබුණි.,මිල වෙළඳ පොළේ නිරතුරුවම තිබුණි ඉහළ යමින්.
ඔවුන් ඊයේ විවිධ දේශපාලන ප්‍රශ්න සාකච්ඡා කළෝය.,ඔවුන් ප්‍රශ්න සාකච්ඡා කළෝය ඊයේ විවිධ දේශපාලන.
සූර්යයා උදෑසන විට මහා අලෝකයක් පැතිරෙන්නේය.,සූර්යයා මහා අලෝකයක් පැතිරෙන්නේය උදෑසන විට.
ආදායම නිරතුරුවම ඉහළ නැංවීමට සැමදා උත්සාහ කෙරේ.,ආදායම රාජ්‍ය නිරතුරුවම සැමදා උත්සාහ කෙරේ ඉහළ නැංවීමට.
ක්‍රමයක් හෙට නව අධ්‍යාපන පාසල්වල ආරම්භ කරනු ඇත.,ක්‍රමයක් නව හෙට ආරම්භ කරනු ඇත අධ්‍යාපන පාසල්වල.
ශාලා ඊයේ කර්මාන්ත මෙරට තුළ පිහිටුවන ලදී.,ශාලා කර්මාන්ත ඊයේ ලදී පිහිටුවන මෙරට තුළ.
ලේඛකයා අද නව ග්‍රන්ථය නිසොල්මනේ මුද්‍රණය කළෝය.,ලේඛකයා ග්‍රන්ථය නව මුද්‍රණය කළෝය අද නිසොල්මනේ.
ගෞරවය සහ උපහාරය සැමදා සියල්ලන්ටම ලබාදීම අවශ්‍ය වේ.,ගෞරවය සහ උපහාරය සියල්ලන්ටම අවශ්‍ය වේ සැමදා ලබාදීම.
නිලධාරීහු අද සියලු ලේඛන නිවැරදිව සැකසීම වෙත යොමු විය.,නිලධාරීහු සියලු ලේඛන වෙත යොමු විය අද නිවැරදිව සැකසීම.
ජනතාව නිතර ප්‍රදේශයේ උවදුරින් පීඩාවට පත්වූහ.,ජනතාව උවදුරින් පීඩාවට පත්වූහ නිතර ප්‍රදේශයේ.
ක්‍රියාකාරකම් නිරතුරුව සතුරාගේ තොරතුරු රහසිගතව සෙවූහ.,ක්‍රියාකාරකම් සතුරාගේ නිරතුරුව සෙවූහ තොරතුරු රහසිගතව.
